izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
87107,Donald Trump,88,83,84,93,47,88,95,49,79,14,84,68,21,100,54,Somewhat confident,Yes,Yes,Lean Republican,Conservative,Very important,09dec2016 13:57:31,09dec2016 14:15:22
93444,Donald Trump,80,81,79,79,52,80,91,29,79,1,48,50,50,90,6,Somewhat confident,Yes,Yes,Not very strong Republican,Conservative,Not too important,09dec2016 18:37:23,09dec2016 18:57:03
60030,Hillary Clinton,59,46,57,60,53,53,38,66,59,56,32,71,57,66,7,Not too confident,No,No,Strong Democrat,Very liberal,Not too important,07dec2016 20:51:35,07dec2016 21:21:50
92504,Hillary Clinton,63,81,50,66,64,81,78,67,40,78,50,35,66,60,47,Not too confident,No,No,Strong Democrat,Moderate,Not at all important,06dec2016 05:54:51,06dec2016 06:38:13
53711,Jill Stein,50,25,45,50,45,50,40,65,50,25,0,80,60,45,0,Somewhat confident,Yes,No,Independent,Liberal,Not at all important,05dec2016 16:53:05,05dec2016 17:11:29
19128,Donald Trump,71,91,57,31,10,85,94,60,40,5,52,61,51,91,50,Very confident,No,Yes,Strong Republican,Conservative,Very important,09dec2016 17:00:37,09dec2016 17:19:01
6413,Hillary Clinton,74,69,72,79,63,99,28,90,81,67,59,100,74,80,0,Not too confident,Yes,No,Strong Democrat,Liberal,Not at all important,20dec2016 21:08:17,20dec2016 21:43:34
60608,Hillary Clinton,84,49,80,81,77,72,35,88,71,72,16,94,63,63,0,Not too confident,Yes,No,Lean Democrat,Very liberal,Not at all important,03dec2016 14:38:15,03dec2016 14:54:09
62526,Donald Trump,100,100,0,0,1,38,95,0,0,17,49,0,1,74,58,Somewhat confident,Yes,Yes,Strong Republican,Very conservative,Somewhat important,01dec2016 19:56:50,02dec2016 06:01:30
24827,Donald Trump,80,75,77,55,51,73,83,25,32,16,48,1,48,83,5,Very confident,Yes,Yes,Strong Republican,Very conservative,Very important,11dec2016 16:43:46,11dec2016 16:58:00
21217,Hillary Clinton,49,51,51,49,49,49,49,50,49,50,5,50,49,4,2,Not too confident,No,No,Lean Democrat,Liberal,Not at all important,10dec2016 11:52:15,10dec2016 12:22:15
43214,Hillary Clinton,91,97,97,100,19,94,38,36,41,40,9,100,33,47,3,Very confident,No,Yes,Independent,Moderate,Somewhat important,09dec2016 19:35:33,09dec2016 19:44:56
76209,Hillary Clinton,50,50,50,50,50,50,49,97,50,50,49,50,50,97,2,Very confident,Yes,No,Strong Democrat,Liberal,Not at all important,10dec2016 09:56:53,10dec2016 10:11:16
48642,Donald Trump,92,93,80,89,86,86,100,50,51,2,27,87,44,100,49,Somewhat confident,Yes,No,Lean Republican,Conservative,Very important,01dec2016 17:59:23,01dec2016 18:19:13
38573,Donald Trump,1,90,41,34,2,29,99,20,11,2,8,2,2,100,18,Very confident,Yes,Yes,Strong Republican,Conservative,Very important,09dec2016 19:39:06,09dec2016 19:53:24
38125,Hillary Clinton,100,67,100,100,93,94,100,70,98,89,11,96,91,90,4,Somewhat confident,No,No,Not very strong Democrat,Moderate,Somewhat important,04dec2016 23:17:28,05dec2016 00:27:22
39402,Gary Johnson,100,100,100,100,99,100,100,50,100,51,1,98,50,100,0,Very confident,Yes,No,Lean Republican,Moderate,Very important,10dec2016 09:23:49,10dec2016 09:41:31
