izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
28078,Hillary Clinton,81,50,76,99,74,99,37,93,86,80,32,98,99,83,0,Not at all confident,No,Yes,Not very strong Democrat,Moderate,Very important,09dec2016 13:18:43,09dec2016 13:37:29
22304,Hillary Clinton,50,70,70,50,81,70,50,39,50,30,21,51,75,80,NA,Somewhat confident,No,No,Not very strong Democrat,Moderate,Very important,05dec2016 17:59:18,05dec2016 18:11:44
10457,Hillary Clinton,99,73,100,100,100,99,77,100,100,99,50,100,94,64,0,Not too confident,Yes,Yes,Strong Democrat,Very liberal,Somewhat important,21dec2016 14:11:18,21dec2016 14:33:55
77092,Hillary Clinton,88,44,82,80,50,50,28,88,80,98,5,100,100,51,1,Somewhat confident,Yes,No,Not very strong Democrat,Liberal,Not at all important,05dec2016 09:38:59,05dec2016 13:32:52
77449,Donald Trump,70,72,76,75,12,75,100,0,62,0,10,2,9,100,71,Very confident,No,No,Strong Republican,Conservative,Very important,10dec2016 12:44:45,10dec2016 13:07:48
6412,Donald Trump,75,85,78,76,80,80,90,59,71,26,54,76,100,100,9,Very confident,Yes,Yes,Not very strong Republican,Moderate,Somewhat important,10dec2016 10:09:23,10dec2016 10:54:55
32720,Gary Johnson,56,66,50,40,2,50,51,50,1,21,20,50,5,60,0,Somewhat confident,Yes,Yes,Not very strong Democrat,Moderate,Not too important,01dec2016 18:40:23,01dec2016 19:07:33
64801,Donald Trump,25,100,60,95,1,100,100,3,60,1,81,1,1,100,25,Somewhat confident,No,Yes,Strong Republican,Very conservative,Very important,06dec2016 10:09:56,06dec2016 10:33:11
94952,Hillary Clinton,86,100,100,81,82,87,49,100,100,90,3,100,74,87,17,Not too confident,Yes,Yes,Strong Democrat,Very liberal,Not too important,15dec2016 12:09:16,15dec2016 13:17:01
21162,Hillary Clinton,15,55,19,9,18,23,32,28,10,21,20,49,20,66,42,Somewhat confident,Yes,Yes,Not very strong Republican,Not sure,Not at all important,12dec2016 10:16:53,12dec2016 10:30:48
14221,Donald Trump,91,91,94,56,NA,100,94,9,51,NA,93,51,NA,100,50,Very confident,No,Yes,Lean Republican,Conservative,Somewhat important,06dec2016 08:31:33,06dec2016 08:52:27
55020,Donald Trump,60,85,64,81,37,77,71,3,65,1,50,75,2,85,50,Somewhat confident,Yes,No,Not very strong Republican,Very conservative,Not at all important,15dec2016 18:30:03,15dec2016 19:34:41
95630,Donald Trump,74,81,59,84,40,84,91,22,50,1,45,40,7,96,50,Very confident,Yes,No,Strong Republican,Conservative,Very important,08dec2016 09:37:19,08dec2016 09:48:31
90277,Donald Trump,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,100,NA,Very confident,No,Yes,Strong Republican,Very conservative,Very important,06dec2016 20:26:01,06dec2016 20:35:45
2492,Hillary Clinton,99,50,79,92,70,71,40,86,83,97,9,98,69,56,0,Not too confident,No,No,Strong Democrat,Very liberal,Not at all important,03dec2016 15:22:20,03dec2016 15:36:52
